GPIO,I2C,SPI,UART,ADC,Other
PA0,,,USART2_CTS,ADC0,
PA1,,,USART2_RTS,ADC1,
PA2,,,USART2_TX,ADC2,
PA3,,,USART2_RX,ADC3,
PA4,,SPI1_NSS,USART2_CK,ADC4,
PA5,,SPI1_SCK,,ADC5,
PA6,,SPI1_MISO,,ADC6,
PA7,,SPI1_MOSI,,ADC7,
PA9,,,USART1_TX,,
PA10,,,USART1_RX,,
PA12,,,USART1_RTS,,CAN1_TX
PA13,,,,,SWDIO
PA14,,,,,SWCLK
PA15,,,,,
PB0,,,USART4_TX,ADC8,
PB1,,,USART4_RX,ADC9,
PB3,,,USART4_CTS,,
PB4,,,USART4_RTS,,
PB5,,,,,
PB6,I2C1_SCL,,,,
PB7,I2C1_SDA,,,,
PB8,,,,,BOOT0
PD0,,,,,
PD1,,,,,
,,,,,
,,,,,
DESCRIPTION,,,,,
