GPIO,ARMDEBUG,ADC1
GPIO_00,,
GPIO_01,,
GPIO_02,,
GPIO_03,,
GPIO_04,,
GPIO_05,,
GPIO_06,,
GPIO_07,,
GPIO_08,,
GPIO_09,,
GPIO_10,,
GPIO_11,ARM_TRACE3,
GPIO_12,ARM_TRACE2,
GPIO_13,ARM_TRACE1,
GPIO_AD_00,ARM_TRACE0,ADC1_IN0
GPIO_AD_01,ARM_TRACE_SWO,ADC1_IN1
GPIO_AD_02,ARM_TRACE_CLK,ADC1_IN2
GPIO_AD_03,,ADC1_IN3
GPIO_AD_04,,ADC1_IN4
GPIO_AD_05,,ADC1_IN5
GPIO_AD_06,,ADC1_IN6
GPIO_AD_07,ARM_CM7_RXEV,ADC1_IN7
GPIO_AD_08,ARM_CM7_TXEV,ADC1_IN8
GPIO_AD_09,ARM_TRACE_SWO,ADC1_IN9
GPIO_AD_10,,ADC1_IN10
GPIO_AD_11,,ADC1_IN11
GPIO_AD_12,,ADC1_IN12
GPIO_AD_13,,ADC1_IN13
GPIO_AD_14,,ADC1_IN14
GPIO_SD_00,ARM_CM7_RXEV,
GPIO_SD_01,,
GPIO_SD_02,,
GPIO_SD_03,,
GPIO_SD_04,,
GPIO_SD_05,,
GPIO_SD_06,,
GPIO_SD_07,,
GPIO_SD_08,,
GPIO_SD_09,,
GPIO_SD_10,,
GPIO_SD_11,,
GPIO_SD_12,,
GPIO_SD_13,ARM_CM7_TXEV,
,,
DESCRIPTION,,
