,,GPIO,SPI,UART,I2C,PWM,ADC
,,GPIO0,RX0,TX0,SDA0,PWM0A,
,,GPIO1,CSn0,RX0,SCL0,PWM0B,
,,GPIO2,SCK0,CTS0,SDA1,PWM1A,
,,GPIO3,TX0,RTS0,SCL1,PWM1B,
,,GPIO4,RX0,TX1,SDA0,PWM2A,
,,GPIO5,CSn0,RX1,SCL0,PWM2B,
,,GPIO6,SCK0,CTS1,SDA1,PWM3A,
,,GPIO7,TX0,RTS1,SCL1,PWM3B,
,,GPIO8,RX1,TX1,SDA0,PWM4A,
,,GPIO9,CSn1,RX1,SCL0,PWM4B,
,,GPIO10,SCK1,CTS1,SDA1,PWM5A,
,,GPIO11,TX1,RTS1,SCL1,PWM5B,
,,GPIO12,RX1,TX0,SDA0,PWM6A,
,,GPIO13,CSn1,RX0,SCL0,PWM6B,
,,GPIO14,SCK1,CTS0,SDA1,PWM7A,
,,GPIO15,TX1,RTS0,SCL1,PWM7B,
,,GPIO16,RX0,TX0,SDA0,PWM0A,
,,GPIO17,CSn0,RX0,SCL0,PWM0B,
,,GPIO18,SCK0,CTS0,SDA1,PWM1A,
,,GPIO19,TX0,RTS0,SCL1,PWM1B,
,,GPIO20,RX0,TX1,SDA0,PWM2A,
,,GPIO21,CSn0,RX1,SCL0,PWM2B,
,,GPIO22,SCK0,CTS1,SDA1,PWM3A,
,,GPIO23,TX0,RTS1,SCL1,PWM3B,
,,GPIO24,RX1,TX1,SDA0,PWM4A,
,,GPIO25,CSn1,RX1,SCL0,PWM4B,
,,GPIO26,SCK1,CTS1,SDA1,PWM5A,ADC0
,,GPIO27,TX1,RTS1,SCL1,PWM5B,ADC1
,,GPIO28,RX1,TX0,SDA0,PWM6A,ADC2
,,GPIO29,CSn1,RX0,SCL0,PWM6B,ADC3
,,,,,,,
DESCRIPTION,The Raspberry Pi RP2040 is a dual ARM Cortex-M0+ running at up to 133MHz with 264kB on-chip SRAM and built in USB. Flash memory is provided by external QSPI chip. All GPIO is 3.3V in/out max unless otherwise stated. ,,,,
